name,artist,id,acousticness,energy,tempo,valence
奏(かなで),Sukima Switch,5RbMlPFL4gVyEHW2lEOuzG,0.553,0.666,149.839,0.461
"One more time, One more chance",Masayoshi Yamazaki,5YRDGgdOshUPA17m7yzY7p,0.719,0.408,129.152,0.331
恋音と雨空,AAA,78BOMFGKODShHuIrtZa6O9,0.174,0.857,129.058,0.498
I'm a mess,MY FIRST STORY,6c5GqVWU3yFDgPkgBB0MGg,0.0148,0.939,130.039,0.676
Good Time,Owl City,1kPpge9JDLpcj15qgrPbYX,0.0239,0.872,126.05,0.682
たしかなこと,Kazumasa Oda,6tUVFkmMyIxDbk7DCjdrMu,0.569,0.583,80.044,0.542
瞳をとじて,Ken Hirai,0JAQpusQK6R7w07s0UgcU3,0.607,0.596,141.352,0.33
The Beginning,ONE OK ROCK,1J6MFj60gFCvYqOtjoYkM0,8.83e-05,0.983,182.058,0.279
別の人の彼女になったよ,wacci,666wLEFj1AtTNBEcErygLz,0.0299,0.617,72.023,0.497
サクラキミワタシ,tuki.,4bM9itWEyMkLUSd2VeROAd,0.766,0.69,179.432,0.509
ブルーベリー・ナイツ,Macaroni Empitsu,2UdvMWk0Z83lMJPbawy2Sm,0.278,0.865,106.008,0.772
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,0.00165,0.608,132.507,0.958
Bling-Bang-Bang-Born,Creepy Nuts,0kdqcbwei4MDWFEX5f33yG,0.0841,0.822,157.013,0.746
Dance With Me,SHE'S,41TFAnFV3Ci8A2DuuKwWSl,0.00106,0.792,124.997,0.733
恋するフォーチュンクッキー,AKB48,37yHxMij3cpN8SdO915LUI,0.259,0.936,121.986,0.924
