name,artist,danceability,parameter,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Listen,MY FIRST STORY,0.678,danceability,,,,,,,,
Dreaming of you,MY FIRST STORY,0.671,danceability,,,,,,,,
告白,MY FIRST STORY,0.621,danceability,,,,,,,,
plastic,MY FIRST STORY,0.602,danceability,,,,,,,,
ACCIDENT,MY FIRST STORY,0.596,danceability,,,,,,,,
告白,MY FIRST STORY,,acousticness,0.662,,,,,,,
Last Kiss,MY FIRST STORY,,acousticness,0.557,,,,,,,
Dreaming of you,MY FIRST STORY,,acousticness,0.164,,,,,,,
二十億光年の恋,MY FIRST STORY,,acousticness,0.136,,,,,,,
ハイエナ,MY FIRST STORY,,acousticness,0.128,,,,,,,
REVIVER,MY FIRST STORY,,energy,,0.993,,,,,,
2 FACE,MY FIRST STORY,,energy,,0.992,,,,,,
Last Call,MY FIRST STORY,,energy,,0.988,,,,,,
アイデンティティー,MY FIRST STORY,,energy,,0.987,,,,,,
絶対絶命,MY FIRST STORY,,energy,,0.987,,,,,,
mine,MY FIRST STORY,,instrumentalness,,,0.0258,,,,,
EXPERIENCE,MY FIRST STORY,,instrumentalness,,,0.00579,,,,,
Sink Like a Stone,SWANKY DANK,,instrumentalness,,,0.00128,,,,,
Gift,MY FIRST STORY,,instrumentalness,,,0.000899,,,,,
lonely,MY FIRST STORY,,instrumentalness,,,0.000821,,,,,
Warning,MY FIRST STORY,,liveness,,,,0.802,,,,
虚言NEUROSE,MY FIRST STORY,,liveness,,,,0.576,,,,
不可逆リプレイス,MY FIRST STORY,,liveness,,,,0.54,,,,
Boyfriend,MY FIRST STORY,,liveness,,,,0.458,,,,
i don't wanna be,MY FIRST STORY,,liveness,,,,0.448,,,,
レイメイ,Sayuri,,loudness,,,,,-1.395,,,
Calling you,MY FIRST STORY,,loudness,,,,,-1.629,,,
Bullet radio,MY FIRST STORY,,loudness,,,,,-1.657,,,
Awake,MY FIRST STORY,,loudness,,,,,-1.672,,,
終焉レクイエム,MY FIRST STORY,,loudness,,,,,-1.869,,,
絶対絶命,MY FIRST STORY,,speechiness,,,,,,0.48,,
Drive Me,MY FIRST STORY,,speechiness,,,,,,0.44,,
LEADER,MY FIRST STORY,,speechiness,,,,,,0.382,,
Someday,MY FIRST STORY,,speechiness,,,,,,0.318,,
Room,MY FIRST STORY,,speechiness,,,,,,0.31,,
ALONE,MY FIRST STORY,,tempo,,,,,,,200.08,
"""Boom""",MY FIRST STORY,,tempo,,,,,,,199.918,
Sink Like a Stone,SWANKY DANK,,tempo,,,,,,,195.715,
Nothing In The Story,MY FIRST STORY,,tempo,,,,,,,195.14,
Smash Out!!,MY FIRST STORY,,tempo,,,,,,,194.902,
plastic,MY FIRST STORY,,valence,,,,,,,,0.911
大迷惑,MY FIRST STORY,,valence,,,,,,,,0.859
証,MY FIRST STORY,,valence,,,,,,,,0.721
ハイエナ,MY FIRST STORY,,valence,,,,,,,,0.712
Dreaming of you,MY FIRST STORY,,valence,,,,,,,,0.689
